word,frequency,relative_frequency,sts_category
four,106,0.00027232275898922013,—
prior,106,0.00027232275898922013,—
published,106,0.00027232275898922013,—
theory,105,0.0002697536763572464,recherche
framework,105,0.0002697536763572464,développement
actual,105,0.0002697536763572464,—
virtual,105,0.0002697536763572464,—
upon,105,0.0002697536763572464,—
groups,105,0.0002697536763572464,—
accessible,105,0.0002697536763572464,discours_vision
ago,105,0.0002697536763572464,—
ust,105,0.0002697536763572464,—
hours,105,0.0002697536763572464,—
shared,105,0.0002697536763572464,—
independent,105,0.0002697536763572464,—
ighthouse,105,0.0002697536763572464,—
argument,104,0.00026718459372527257,—
computational,104,0.00026718459372527257,—
erlin,104,0.00026718459372527257,—
report,104,0.00026718459372527257,—
pen,104,0.00026718459372527257,—
operation,104,0.00026718459372527257,—
continued,104,0.00026718459372527257,—
ongoing,104,0.00026718459372527257,—
collaboration,104,0.00026718459372527257,—
uly,104,0.00026718459372527257,—
ost,103,0.0002646155110932988,—
begi,103,0.0002646155110932988,—
dedicated,103,0.0002646155110932988,—
phase,103,0.0002646155110932988,—
sender,103,0.0002646155110932988,—
quick,103,0.0002646155110932988,—
listed,103,0.0002646155110932988,—
tickets,103,0.0002646155110932988,—
ei,103,0.0002646155110932988,—
